RowID,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,>50K
Row64,47,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
Row65,41,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,,False
Row66,41,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,60,United-States,True
Row67,19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,False
Row68,46,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,False
Row69,43,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,True
Row70,55,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-States,True
Row71,46,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,True
Row72,30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,False
Row73,21,Private,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,False
Row74,46,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Dominican-Republic,True
Row75,17,,10th,6,Never-married,,Own-child,White,Male,0,0,40,United-States,False
Row76,41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,True
Row77,69,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,False
Row78,50,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,True
Row79,20,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
Row80,45,Self-emp-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,True
Row81,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,False
Row82,24,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,1876,40,United-States,False
Row83,44,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,50,,True
Row84,31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,True
Row85,43,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,44,United-States,False
Row86,20,Federal-gov,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,False
Row87,55,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,True
Row88,24,Federal-gov,Some-college,10,Never-married,Armed-Forces,Not-in-family,White,Male,0,0,40,United-States,False
Row89,41,,Masters,14,Married-civ-spouse,,Wife,White,Female,7688,0,10,United-States,True
Row90,59,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,False
Row91,49,Federal-gov,7th-8th,4,Never-married,Other-service,Not-in-family,Black,Male,0,0,20,United-States,False
Row92,33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,5178,0,10,United-States,True
Row93,59,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,False
Row94,34,Private,Masters,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,False
Row95,20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,False
Row96,25,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,False
Row97,49,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,False
Row98,59,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,True
Row99,20,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
Row100,51,,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,0,18,United-States,True
Row101,33,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,False
Row102,22,Private,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0,39,United-States,False
Row103,58,Self-emp-not-inc,9th,5,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,False
Row104,52,Local-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,28,United-States,False
Row105,36,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,False
Row106,41,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,True
Row107,28,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,2597,0,40,United-States,False
Row108,19,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,16,United-States,False
Row109,18,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,28,United-States,False
Row110,18,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,48,United-States,False
Row111,28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,False
Row112,29,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,True
Row113,20,,HS-grad,9,Never-married,,Own-child,White,Female,0,0,20,United-States,False
Row114,40,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,False
Row115,26,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,False
Row116,46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,True
Row117,23,Private,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,24,United-States,False
Row118,44,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,False
Row119,43,Private,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,False
Row120,31,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,60,United-States,False
Row121,18,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,False
Row122,19,Private,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,30,United-States,False
Row123,41,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,False
Row124,41,Private,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,False
Row125,69,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,False
Row126,48,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,True
Row127,28,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,False
Row128,27,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Ireland,False
Row129,41,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,United-States,True
Row130,41,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,True
Row131,24,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,False
Row132,20,,HS-grad,9,Never-married,,Not-in-family,White,Female,0,0,40,United-States,False
Row133,42,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,41,United-States,True
Row134,57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,48,United-States,True
Row135,30,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,False
Row136,36,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,True
Row137,49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,False
Row138,33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,35,United-States,False
Row139,23,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,False
Row140,46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,True
Row141,18,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,22,Germany,False
Row142,40,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,True
Row143,43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,45,United-States,True
Row144,34,Private,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,False
Row145,47,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,False
Row146,44,Private,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,Female,0,0,30,United-States,False
Row147,33,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,False
Row148,55,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,True
Row149,19,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,2907,0,30,United-States,False
Row150,28,Private,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0,0,14,United-States,False
Row151,27,Private,11th,7,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,32,United-States,False
Row152,50,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,20,United-States,False
Row153,22,Private,11th,7,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,False
Row154,40,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1887,45,United-States,True
Row155,25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,False
Row156,26,Local-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,False
Row157,22,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,25,United-States,False
Row158,42,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,625,40,United-States,False
Row159,38,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,False
Row160,55,Private,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,False
Row161,32,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,False
Row162,22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,False
Row163,29,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,False
Row164,46,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,True
Row165,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,True
Row166,58,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,16,United-States,True
Row167,42,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,True
Row168,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,25,United-States,False
Row169,58,Local-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,33,United-States,False
Row170,54,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,True
Row171,34,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,False
Row172,26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
Row173,61,Private,12th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,True
Row174,48,Local-gov,Masters,14,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,False
Row175,36,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,True
Row176,24,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,False
Row177,40,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37,United-States,True
Row178,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,True
Row179,37,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,40,United-States,True
Row180,34,Private,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,4650,0,40,United-States,False
Row181,56,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,True
Row182,28,,HS-grad,9,Married-civ-spouse,,Own-child,White,Female,0,0,38,United-States,False
Row183,37,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,True
Row184,44,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States,False
Row185,64,,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,8,United-States,False
Row186,54,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,False
Row187,23,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,False
Row188,34,State-gov,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,0,0,40,,False
Row189,22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,45,United-States,False
Row190,33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,True
Row191,39,Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,True
Row192,47,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,37,United-States,False
Row193,79,,7th-8th,4,Widowed,,Not-in-family,White,Male,0,0,40,United-States,False
Row194,26,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,55,United-States,False
Row195,31,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,False
Row196,44,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,False
Row197,42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,True
Row198,19,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,False
Row199,27,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,False
Row200,51,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,True
Row201,28,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,True
Row202,57,Private,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,True
Row203,45,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,False
Row204,50,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,True
Row205,34,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,54,United-States,True
Row206,45,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,False
Row207,73,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,False
Row208,34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,True
Row209,31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,True
Row210,19,Private,11th,7,Never-married,Sales,Not-in-family,White,Male,0,0,12,United-States,False
Row211,25,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,50,United-States,False
Row212,38,Federal-gov,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,6497,0,40,United-States,False
Row213,39,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,True
Row214,23,Private,Bachelors,13,Never-married,Tech-support,Own-child,Black,Female,0,0,32,United-States,False
Row215,49,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,True
Row216,33,Federal-gov,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,32,United-States,False
Row217,21,Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,38,Mexico,False
Row218,31,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,False
Row219,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,False
Row220,34,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,True
Row221,25,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,False
Row222,39,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,False
Row223,52,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,True
Row224,63,Local-gov,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40,United-States,True
Row225,41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,True
Row226,46,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,38,United-States,True
Row227,53,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,True
Row228,25,,9th,5,Separated,,Not-in-family,White,Female,1055,0,40,United-States,False
Row229,77,,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,35,United-States,False
Row230,18,Private,12th,8,Never-married,Priv-house-serv,Own-child,White,Male,0,0,40,United-States,False
Row231,38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,True
Row232,55,Private,Masters,14,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,50,Thailand,True
Row233,34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,True
Row234,80,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,False
Row235,34,Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,60,United-States,False
Row236,52,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,5013,0,40,United-States,False
Row237,42,Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,28,Haiti,False
Row238,26,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,False
Row239,31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,False
Row240,25,Local-gov,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,False
Row241,55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2057,60,United-States,False
Row242,19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,False
Row243,62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,32,United-States,False
Row244,22,Federal-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,False
Row245,39,,HS-grad,9,Married-civ-spouse,,Wife,White,Female,0,0,50,United-States,True
Row246,35,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,False
Row247,28,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,0,0,40,United-States,False
Row248,47,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,True
Row249,44,State-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,True
Row250,21,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,False
Row251,35,Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,False
Row252,24,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,True
Row253,42,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,,True
